PRODUKT_CODE,STATION_ID,ZEITSTEMPEL,WERT,,,,,,,,
TT_TU_MN009,662,201701142200.00,0.9,,,,,,,,
TT_TU_MN009,662,201701142300.00,0.5,,,,,,,,
TT_TU_MN009,662,201701150000.00,0.7,,,,,,,,
TT_TU_MN009,662,201701150100.00,0.5,,,,,,,,
TT_TU_MN009,662,201701150200.00,0.4,,,,,,,,
TT_TU_MN009,662,201701150300.00,-0.1,,,,,,,,
TT_TU_MN009,662,201701150400.00,-0.2,,,,,,,,
TT_TU_MN009,662,201701150500.00,-0.4,,,,,,,,
TT_TU_MN009,662,201701150600.00,-0.5,,,,,,,,
TT_TU_MN009,662,201701150700.00,-0.7,,,,,,,,
TT_TU_MN009,662,201701150800.00,-0.7,,,,,,,,
TT_TU_MN009,662,201701150900.00,-0.6,,,,,,,,
TT_TU_MN009,662,201701151000.00,0.1,,,,,,,,
TT_TU_MN009,662,201701151100.00,0.3,,,,,,,,
TT_TU_MN009,662,201701151200.00,0.3,,,,,,,,
TT_TU_MN009,662,201701151300.00,0.3,,,,,,,,
TT_TU_MN009,662,201701151400.00,0.1,,,,,,,,
TT_TU_MN009,662,201701151500.00,0.5,,,,,,,,
TT_TU_MN009,662,201701151600.00,0.3,,,,,,,,
TT_TU_MN009,662,201701151700.00,0,,,,,,,,
TT_TU_MN009,662,201701151800.00,-0.2,,,,,,,,
TT_TU_MN009,662,201701151900.00,-0.8,,,,,,,,
TT_TU_MN009,662,201701152000.00,-1.7,,,,,,,,
TT_TU_MN009,662,201701152100.00,-3,,,,,,,,
TT_TU_MN009,662,201701152200.00,-3,,,,,,,,
TT_TU_MN009,662,201701152300.00,-3.3,,,,,,,,
TT_TU_MN009,662,201701160000.00,-3.6,,,,,,,,
TT_TU_MN009,662,201701160100.00,-4.4,,,,,,,,
TT_TU_MN009,662,201701160200.00,-5.9,,,,,,,,
TT_TU_MN009,662,201701160300.00,-5.1,,,,,,,,
TT_TU_MN009,662,201701160400.00,-5,,,,,,,,
TT_TU_MN009,662,201701160500.00,-5.1,,,,,,,,
TT_TU_MN009,662,201701160600.00,-4.9,,,,,,,,
